order_category,order_value,item_value,quantity,time_to_return_request_hours,refund_amount,return_reason,returned_item_match,item_condition_score,package_weight_delta_pct,vision_confidence_score,account_age_days,lifetime_order_count,lifetime_return_count,total_spent,return_rate,return_velocity_30d,return_velocity_48h,shared_device_count,shared_address_count,shared_payment_fingerprint_count,device_return_velocity_7d,address_return_velocity_7d,payment_return_velocity_7d,cluster_return_velocity_7d
Electronics,65.74,7.69,1,401.36,6.8,Changed mind,True,0.8486654955081911,3.3033539347781273,0.9647943229046585,419,66,8,514.33,0.12121212121212122,1,0,3,4,2,0,0,0,0
Electronics,509.83,55.82,1,49.37,49.21,Not as expected,True,0.443,1.8905232649091985,0.762,241,64,6,218.44,0.09375,0,0,1,2,2,0,0,0,0
Electronics,292.0,292.0,1,172.35,274.46,Changed mind,True,0.94068216050112,6.785373876076797,0.9418826027316757,1348,42,5,321.84,0.11904761904761904,0,0,2,2,1,0,0,0,0
Beauty,47.55,6.81,1,69.22,5.95,Not as expected,True,0.9077974589056174,4.812159120549503,0.9598970964317274,3,95,11,116.74,0.11578947368421053,10,0,3,2,1,1,1,1,1
Apparel,382.27,74.39,1,127.71,64.32,Wrong size,True,0.8323249104080488,8.080993198400657,0.856912533531498,2,46,7,1187.92,0.15217391304347827,6,0,2,1,3,1,1,1,1
Sports,369.75,259.09,1,562.76,247.47,Changed mind,True,0.9947557538894422,4.775774361481444,0.9041821040191614,669,80,11,81.95,0.1375,0,0,3,3,3,0,0,0,0
Electronics,126.43,21.1,1,619.39,20.22,Wrong size,True,0.946681566867827,4.256048284988726,0.9209856237623913,478,43,8,280.6,0.18604651162790697,1,0,1,4,2,0,0,0,0
Other,239.63,13.52,1,686.38,13.42,Not as expected,True,0.9303535000158144,8.068289022029115,0.8642238489251036,0,26,1,733.33,0.038461538461538464,1,1,3,1,3,1,1,1,1
Beauty,404.64,57.99,1,632.7,31.99,Changed mind,False,0.8807450904138541,42.61,0.371,1,73,14,371.22,0.1917808219178082,10,0,1,7,2,1,6,1,6
Luxury,155.31,21.4,1,566.5,18.32,Not as expected,True,0.8033361411764294,3.002996343899432,0.892905397028158,1363,53,45,400.24,0.8490566037735849,5,0,12,12,12,7,7,7,7
Books,717.11,717.11,1,125.22,714.59,Wrong size,True,0.9753056496282464,0.8297458812204794,0.9133408889514627,630,31,3,225.82,0.0967741935483871,0,0,2,6,3,0,0,0,0
Other,103.67,32.0,1,107.75,30.05,Not as expected,True,0.8036468280579355,5.0470617490950795,0.9183754572054744,969,34,1,462.93,0.029411764705882353,0,0,1,2,1,0,0,0,0
Apparel,1203.32,118.06,1,1.68,108.87,Wrong size,True,0.9454311289921113,1.9891522590227118,0.8781918755430065,1,73,14,371.22,0.1917808219178082,10,0,1,7,2,1,6,1,6
